2024-01-30 10:10:04.960 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:10:06.476 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 28276 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:10:06.477 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:10:07.410 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:10:07.410 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:10:07.474 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:10:09.402 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.269 seconds (process running for 3.693)
2024-01-30 10:10:09.935 [RMI TCP Connection(1)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:10:09.977 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:16:49.314 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:16:49.317 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:16:50.951 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 2732 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:16:50.952 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:16:51.898 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:16:51.899 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:16:51.961 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:16:53.960 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.357 seconds (process running for 3.804)
2024-01-30 10:16:54.481 [RMI TCP Connection(4)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:16:54.522 [RMI TCP Connection(3)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:18:55.109 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:18:55.112 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:18:56.789 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 5828 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:18:56.791 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:18:57.739 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:18:57.739 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:18:57.800 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:18:59.783 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.359 seconds (process running for 3.884)
2024-01-30 10:19:00.066 [RMI TCP Connection(3)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:19:00.106 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:21:30.347 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:21:30.351 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:21:35.357 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 9656 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:21:35.358 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:21:36.311 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:21:36.312 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:21:36.373 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:21:38.361 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.513 seconds (process running for 3.962)
2024-01-30 10:21:38.636 [RMI TCP Connection(1)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:21:38.676 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:50:37.446 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:50:37.450 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:51:07.586 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 28860 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:51:07.589 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:52:13.418 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 208 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:52:13.420 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:52:14.418 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:52:14.418 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:52:14.480 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:52:16.554 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.694 seconds (process running for 4.138)
2024-01-30 10:52:17.159 [RMI TCP Connection(8)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:52:17.198 [RMI TCP Connection(9)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 11:10:31.198 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 11:10:31.201 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 11:10:52.341 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 20740 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 11:10:52.344 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 11:12:38.749 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 24944 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 11:12:38.750 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 11:12:39.725 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 11:12:39.726 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 11:12:39.802 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 11:12:42.796 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 4.393 seconds (process running for 4.827)
2024-01-30 11:12:43.191 [RMI TCP Connection(2)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 11:12:43.230 [RMI TCP Connection(1)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 11:31:28.126 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 11:31:28.129 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 13:52:04.967 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 29140 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 13:52:04.968 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 13:52:05.938 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 13:52:05.938 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 13:52:06.000 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 13:52:07.927 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.319 seconds (process running for 3.787)
2024-01-30 13:52:08.465 [RMI TCP Connection(1)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 13:52:08.507 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 13:52:36.502 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 13:52:36.505 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 13:52:38.627 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 7092 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 13:52:38.628 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 13:52:39.558 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 13:52:39.559 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 13:52:39.629 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 13:52:41.696 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.488 seconds (process running for 4.161)
2024-01-30 13:52:42.274 [RMI TCP Connection(6)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 13:52:42.315 [RMI TCP Connection(5)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 13:53:17.738 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 13:53:17.742 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 13:53:19.412 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 17464 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 13:53:19.414 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 13:53:20.351 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 13:53:20.351 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 13:53:20.411 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 13:53:22.532 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.467 seconds (process running for 3.952)
2024-01-30 13:53:22.938 [RMI TCP Connection(4)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 13:53:22.981 [RMI TCP Connection(3)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 13:54:21.241 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 13:54:21.246 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 13:54:22.875 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 25812 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 13:54:22.876 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 13:54:23.815 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 13:54:23.815 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 13:54:23.878 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 13:54:25.813 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.288 seconds (process running for 3.771)
2024-01-30 13:54:26.274 [RMI TCP Connection(2)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 13:54:26.317 [RMI TCP Connection(3)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
